dataset,model,iteration,rmse
BIDMC32HR,CNN-64,5,0.43781137466430664
HouseholdPowerConsumption1,ResNet,1,100.4365234375
HouseholdPowerConsumption1,FCN,1,106.49089050292969
HouseholdPowerConsumption1,InceptionTime,1,79.7208023071289
HouseholdPowerConsumption1,ResNet,2,103.7507095336914
HouseholdPowerConsumption1,FCN,2,105.77787017822266
HouseholdPowerConsumption1,InceptionTime,2,99.14065551757812
HouseholdPowerConsumption1,ResNet,3,102.79756164550781
HouseholdPowerConsumption1,FCN,3,105.47599029541016
HouseholdPowerConsumption1,InceptionTime,3,95.3680191040039
HouseholdPowerConsumption1,ResNet,4,105.36463165283203
HouseholdPowerConsumption1,FCN,4,106.4017333984375
HouseholdPowerConsumption1,InceptionTime,4,101.2530288696289
HouseholdPowerConsumption1,ResNet,5,105.41006469726562
HouseholdPowerConsumption1,FCN,5,82.56978607177734
HouseholdPowerConsumption1,InceptionTime,5,100.7058334350586
BenzeneConcentration,ResNet,1,806.852294921875
BenzeneConcentration,FCN,1,508.1765441894531
BenzeneConcentration,InceptionTime,1,787.0062866210938
BenzeneConcentration,ResNet,2,806.7238159179688
BenzeneConcentration,FCN,2,630.1484375
BenzeneConcentration,InceptionTime,2,600.2777709960938
BenzeneConcentration,ResNet,3,807.6567993164062
BenzeneConcentration,FCN,3,658.0490112304688
BenzeneConcentration,InceptionTime,3,730.194580078125
BenzeneConcentration,ResNet,4,717.8248901367188
BenzeneConcentration,FCN,4,651.4782104492188
BenzeneConcentration,InceptionTime,4,575.6290283203125
BenzeneConcentration,ResNet,5,765.7078857421875
BenzeneConcentration,FCN,5,556.0202026367188
BenzeneConcentration,InceptionTime,5,606.84130859375
NewsHeadlineSentiment,ResNet,1,14.978011131286621
NewsHeadlineSentiment,FCN,1,15.047358512878418
NewsHeadlineSentiment,InceptionTime,1,14.973691940307617
NewsHeadlineSentiment,ResNet,2,15.014509201049805
NewsHeadlineSentiment,FCN,2,14.981598854064941
NewsHeadlineSentiment,InceptionTime,2,15.008519172668457
NewsHeadlineSentiment,ResNet,3,15.01393985748291
NewsHeadlineSentiment,FCN,3,14.993203163146973
NewsHeadlineSentiment,InceptionTime,3,14.976192474365234
NewsHeadlineSentiment,ResNet,4,14.998645782470703
NewsHeadlineSentiment,FCN,4,15.02920150756836
NewsHeadlineSentiment,InceptionTime,4,14.978334426879883
NewsHeadlineSentiment,ResNet,5,14.985312461853027
NewsHeadlineSentiment,FCN,5,15.00439167022705
NewsHeadlineSentiment,InceptionTime,5,15.006114959716797
BIDMC32HR,ResNet,1,0.1246236264705658
BIDMC32HR,FCN,1,0.1246236264705658
BIDMC32HR,InceptionTime,1,0.11350074410438538
BIDMC32HR,ResNet,2,0.11906982958316803
BIDMC32HR,FCN,2,0.11906982958316803
BIDMC32HR,InceptionTime,2,0.1274479776620865
BIDMC32HR,ResNet,3,0.09421888738870621
BIDMC32HR,FCN,3,0.09421888738870621
BIDMC32HR,InceptionTime,3,0.12144500017166138
BIDMC32HR,ResNet,4,0.09953140467405319
BIDMC32HR,FCN,4,0.09953140467405319
BIDMC32HR,InceptionTime,4,0.13705728948116302
BIDMC32HR,ResNet,5,0.1057261973619461
BIDMC32HR,FCN,5,0.1057261973619461
BIDMC32HR,InceptionTime,5,0.15669989585876465
LiveFuelMoistureContent,ResNet,1,2007.869384765625
LiveFuelMoistureContent,FCN,1,2007.869384765625
LiveFuelMoistureContent,InceptionTime,1,2115.59130859375
LiveFuelMoistureContent,ResNet,2,1848.02197265625
LiveFuelMoistureContent,FCN,2,1848.02197265625
LiveFuelMoistureContent,InceptionTime,2,1661.6357421875
LiveFuelMoistureContent,ResNet,3,1787.6700439453125
LiveFuelMoistureContent,FCN,3,1787.6700439453125
LiveFuelMoistureContent,InceptionTime,3,1717.56884765625
LiveFuelMoistureContent,ResNet,4,1854.6171875
LiveFuelMoistureContent,FCN,4,1854.6171875
LiveFuelMoistureContent,InceptionTime,4,1748.0172119140625
LiveFuelMoistureContent,ResNet,5,1681.490966796875
LiveFuelMoistureContent,FCN,5,1681.490966796875
LiveFuelMoistureContent,InceptionTime,5,2392.549072265625
IEEEPPG,ResNet,1,31.64379119873047
IEEEPPG,FCN,1,56.29719543457031
IEEEPPG,InceptionTime,1,25.232648849487305
IEEEPPG,ResNet,2,59.451820373535156
IEEEPPG,FCN,2,69.63863372802734
IEEEPPG,InceptionTime,2,23.565898895263672
IEEEPPG,ResNet,3,52.46661376953125
IEEEPPG,FCN,3,70.02932739257812
